Time,Density
1,2827
2,3041
3,2963
4,2759
5,3343
6,2869
7,3041
8,2818
9,2763
10,2818
11,2655
12,2551
13,2760
14,3275
15,2218
16,3249
17,2745
18,2793
19,2718
20,3096
21,2938
22,2539
23,2792
24,2659
25,2581
26,2577
27,3190
28,3110
29,2685
30,2492
31,2993
32,2865
33,2800
34,2503
35,2478
36,2537
37,2790
38,2560
39,3141
40,2158
41,2957
42,2828
43,2570
44,2571
45,2781
46,2714
47,2741
48,2709
49,2824
50,2659
51,2562
52,3198
53,2744
54,2620
55,2956
56,2369
57,2711
58,2898
59,2850
60,2716
61,3037
62,2320
63,2674
64,2364
65,2703
66,2446
67,2892
68,2372
69,3446
70,2999
71,2386
72,2740
73,2545
74,2783
75,2707
76,2848
77,2782
78,2183
79,2646
80,2537
81,3015
82,2871
83,2595
84,2688
85,3407
86,2571
87,2732
88,2879
89,3083
90,3266
91,2531
92,2504
93,2991
94,2303
95,2785
96,2644
97,3103
98,2829
99,2454
100,2636
101,3426
102,2719
103,2581
104,4432
105,3891
106,4190
107,4088
108,4048
109,3956
110,4698
111,3781
112,3738
113,3686
114,4089
115,4053
116,3673
117,4703
118,5084
119,4473
120,4911
121,3994
122,5351
123,4650
124,4461
125,4658
126,5618
127,4953
128,4798
129,5223
130,5255
131,4824
132,5238
133,5136
134,5084
135,4691
136,4895
137,4725
138,4882
139,4282
140,4583
141,5127
142,4674
143,4606
144,3645
145,3880
146,3878
147,4277
148,4247
149,4037
150,3804
151,3952
152,3293
153,3283
154,4030
155,4949
156,3173
157,3859
158,3833
159,3890
160,3786
161,3135
162,3362
163,3170
164,3635
165,3231
166,3492
167,3049
168,3128
169,3082
170,2855
171,2989
172,3665
173,2821
174,3234
175,3685
176,4027
177,3650
178,3640
179,3661
180,3045
181,3152
182,3442
183,3172
184,3528
185,3404
186,3468
187,3619
188,3573
189,3254
190,3567
191,3572
192,4183
193,3765
194,3722
195,3494
196,4267
197,2859
198,3590
199,3876
200,3501
201,3790
202,3598
203,3504
204,3493
205,3612
206,3931
207,3639
208,3467
209,3661
210,3511
211,3511
212,3927
213,4028
214,3430
215,3300
216,3360
217,3546
218,3544
219,3672
220,2884
221,3352
222,3184
223,3411
224,3598
225,3233
226,3814
227,3423
228,2522
229,3404
230,3440
231,3214
232,3364
233,3291
234,2613
235,3174
236,2958
237,3255
238,2695
239,2899
240,3323
241,3479
242,3373
243,3435
244,3908
245,3585
246,3602
247,3304
248,3264
249,3062
250,3751
251,3393
252,3378
253,3697
254,3272
255,3135
256,3081
257,3315
258,4134
259,4438
260,3925
261,3060
262,3442
263,3173
264,4288
265,3653
266,3540
267,3752
268,3885
269,3169
270,3804
271,3707
272,3990
273,3688
274,4023
275,3321
276,3940
277,3972
278,3362
279,3061
280,3641
281,3523
282,3395
283,3372
284,3924
285,3753
286,3811
287,3826
288,4117
289,3353
290,4138
291,4028
292,3836
293,4568
294,3735
295,3481
296,3578
297,3648
298,4527
299,3831
300,3486
301,3749
302,3349
303,3865
304,3745
305,3778
306,2921
307,3507
308,3119
309,3038
310,3264
311,3498
312,2691
313,3390
314,3161
315,3118
316,3621
317,3023
318,3397
319,3113
320,3984
321,3574
322,3533
323,2905
324,3413
325,3357
326,3002
327,3225
328,3253
329,3050
330,3526
331,2945
332,3150
333,3208
334,3119
335,4079
336,3671
337,3891
338,3369
339,3624
340,3030
341,3138
342,3912
343,3931
344,3930
345,2484
346,3801
347,3217
348,3185
349,3871
350,2710
351,3437
352,3393
353,3277
354,3141
355,3106
356,3020
357,3637
358,2760
359,2779
360,3337
361,2820
362,2953
363,2969
364,2948
365,3199
366,3191
367,3753
368,3286
369,3370
370,3566
371,3377
372,2989
373,3082
374,2917
375,3504
376,3257
377,3349
378,2852
379,3410
380,3403
381,2647
382,3205
383,3289
384,2856
385,2894
386,3562
387,2894
388,3120
389,2870
390,2656
391,2974
392,2463
393,2779
394,2644
395,2681
396,3055
397,2537
398,3411
399,2903
400,3216
401,3113
402,2911
403,3250
404,2991
405,3489
406,3091
407,3189
408,3150
409,2755
410,3146
411,3075
412,2994
413,3092
414,3029
415,3295
416,3144
417,2785
418,2987
419,2950
420,3270
421,3206
422,2843
423,3101
424,3019
425,2860
426,2875
427,3233
428,3303
429,3302
430,3048
431,3062
432,3193
433,2769
434,3180
435,3558
436,3090
437,3186
438,2994
439,3063
440,3106
441,3425
442,2946
443,2940
444,3134
445,3151
446,2828
447,2373
448,3102
449,3315
450,2922
451,3759
452,3080
453,3297
454,3397
455,3463
456,3486
457,3616
458,3191
459,3511
460,3060
461,2732
462,3406
463,3815
464,3321
465,3676
